base-client_energy_consumed-mean,base-client_energy_consumed-std,base-client_energy_consumed-wilcoxon_p-value,base-server_energy_consumed-mean,base-server_energy_consumed-std,base-server_energy_consumed-wilcoxon_p-value,compression-client_energy_consumed-mean,compression-client_energy_consumed-std,compression-client_energy_consumed-wilcoxon_p-value,compression-server_energy_consumed-mean,compression-server_energy_consumed-std,compression-server_energy_consumed-wilcoxon_p-value,index-client_energy_consumed-mean,index-client_energy_consumed-std,index-client_energy_consumed-wilcoxon_p-value,index-server_energy_consumed-mean,index-server_energy_consumed-std,index-server_energy_consumed-wilcoxon_p-value,index-compression-client_energy_consumed-mean,index-compression-client_energy_consumed-std,index-compression-client_energy_consumed-wilcoxon_p-value,index-compression-server_energy_consumed-mean,index-compression-server_energy_consumed-std,index-compression-server_energy_consumed-wilcoxon_p-value,base-execution-mean-time,compression-execution-mean-time,index-execution-mean-time,index-compression-execution-mean-time
2089.4631044000002,8780.697723527566,N/A,5720685.744454567,405472.5933332982,N/A,3095.586317333333,12230.754599670872,0.032427612126453696,6115567.6282361,668099.5277214795,0.0020201820880174637,10986.490630766664,47957.46372394638,0.37544507472938493,6547027.339390468,660764.3119278839,5.144625902175903e-06,2279.5519320000008,8305.636766316107,0.9611595909257591,6515799.413033766,495900.6765150571,1.862645149230957e-09,1721.2666666666667,1912.9333333333334,2263.7,2230.0
1068.0744343333333,1642.0933999974377,N/A,368790.1387927999,287295.7003718793,N/A,923.0372048333334,942.1628955241873,0.6938256916874675,408584.1296507334,415677.4664778767,6.146728992462158e-08,855.4910328999999,1689.86108871052,0.1230448277690691,410045.7638816667,288388.9174930567,1.862645149230957e-09,1395.4924497666666,1940.4811155698428,0.22766178540166304,382847.5506216333,386172.54795836034,0.1459994912147522,219.0,223.2,224.83333333333334,215.23333333333332
9615.718236366667,25317.827219064682,N/A,890625.3774831666,106953.55316276885,N/A,8748.581060666667,22775.46659185185,0.7151447551766743,888813.5475770334,107323.83369693597,0.8871948085725307,13940.429644533333,43872.0261789228,0.8405336616716674,919866.4563634669,104891.8082905217,1.3966113328933716e-05,7312.379786866665,18050.951472117158,0.17284834913542624,834821.6651677334,101063.60590305006,5.587935447692871e-09,346.73333333333335,338.23333333333335,338.6333333333333,329.2
581.3991068,1756.7913982373548,N/A,134608.2613805,137512.8288933878,N/A,450.5570434666667,858.8164232386819,0.6378701798979456,135609.6605592,146688.00850391347,0.935398668050766,490.1862222666667,1085.943834011465,0.9374729223624751,164912.75346763336,145687.367892584,5.587935447692871e-09,225.18788106666665,563.4658712718489,0.6464622026641696,147095.77073216668,131953.87817623105,7.056817412376404e-05,102.3,101.56666666666666,123.1,119.73333333333333
178.53493983333334,402.6985362246575,N/A,629127.7994116,99371.13802439236,N/A,72.54948886666666,230.40841870532515,0.04252247799805163,649423.9553085,104362.72925934257,0.001038169488310814,708.9501021,2977.6860978859713,0.6378701798979456,949408.7489161334,152632.11389356034,1.862645149230957e-09,200.9794266333333,443.3752156929949,0.875329249147922,885434.2617632333,143675.54879495772,1.862645149230957e-09,235.06666666666666,236.16666666666666,349.53333333333336,350.8
10285.182225733332,52055.85479822688,N/A,855456.2624565333,47524.03061300222,N/A,9527.255027366666,46829.90378708508,0.3078214719088427,861036.1244967334,52953.23085559065,0.4771064817905426,8619.667470133334,42002.667037690284,0.19144640357050802,904135.2211809334,27489.127909241695,8.326023817062378e-07,8201.619579366667,39894.06228848401,0.3626859408352129,926007.3587509001,16293.592097747769,1.862645149230957e-09,277.4,271.06666666666666,279.1333333333333,359.8
3166.320903866667,14763.458026291004,N/A,989385.5475896666,28990.23530406213,N/A,3037.4010793333337,13667.437215048618,0.6001794871405539,851008.7975654,24887.482096880558,3.725290298461914e-09,2651.4988389666664,11196.859401347941,0.9749599188317098,1188357.0235019668,55104.19833468382,1.862645149230957e-09,2412.8155162999997,10828.88766125402,0.2787073832496024,1151339.4708119,52860.96252676464,1.862645149230957e-09,477.2,323.96666666666664,401.5,412.3666666666667
3932.9447085666666,14780.518591657521,N/A,1069726.1136868666,24009.67769162442,N/A,2831.422068833333,13758.586494954598,0.3862707203664827,1091698.2357501334,52208.612558896595,0.0007978975772857666,3661.8190699333336,13585.044183577811,0.7670968684102772,1701214.7146842333,94590.32425700253,1.862645149230957e-09,2051.3494873,10457.978256649032,0.32698934959801507,1544833.0438043668,75830.85851370048,1.862645149230957e-09,543.0,537.9333333333333,719.2,704.7333333333333
1266.9736883666665,4593.46018281773,N/A,1403925.1269154,70003.8288469958,N/A,1305.8480222333335,4391.081660318791,0.5014474714870738,1333100.1038807335,58115.31562070211,3.725290298461914e-09,1186.2510010666667,3885.624082052367,0.5700608835629815,245025.2966891667,283175.5514273123,3.725290298461914e-09,1233.8012267333334,4139.030639789139,0.3078214719088427,233191.12624163335,244399.32398872206,3.725290298461914e-09,469.26666666666665,447.5,138.16666666666666,141.6
5895.794358766667,28847.774936945996,N/A,1497883.3590371662,23298.158459642225,N/A,5377.891795533333,27928.705130968523,0.3626859408352129,1461230.7910053332,31360.14185892614,9.98377799987793e-07,4586.780762433333,24066.43854303398,0.09260069782067576,800631.4128076335,116436.90912548106,1.862645149230957e-09,4891.195890866667,25171.534212156304,0.272095182736126,725836.5645254668,100252.11117894229,1.862645149230957e-09,495.46666666666664,463.46666666666664,306.7,300.3
