base-client_energy_consumed-mean,base-client_energy_consumed-std,base-client_energy_consumed-wilcoxon_p-value,base-server_energy_consumed-mean,base-server_energy_consumed-std,base-server_energy_consumed-wilcoxon_p-value,compression-client_energy_consumed-mean,compression-client_energy_consumed-std,compression-client_energy_consumed-wilcoxon_p-value,compression-server_energy_consumed-mean,compression-server_energy_consumed-std,compression-server_energy_consumed-wilcoxon_p-value,index-client_energy_consumed-mean,index-client_energy_consumed-std,index-client_energy_consumed-wilcoxon_p-value,index-server_energy_consumed-mean,index-server_energy_consumed-std,index-server_energy_consumed-wilcoxon_p-value,index-compression-client_energy_consumed-mean,index-compression-client_energy_consumed-std,index-compression-client_energy_consumed-wilcoxon_p-value,index-compression-server_energy_consumed-mean,index-compression-server_energy_consumed-std,index-compression-server_energy_consumed-wilcoxon_p-value
23725.722962157895,39582.108842751935,N/A,4773864.273036632,114137.0182919991,N/A,22121.025908099997,36904.65583090235,0.48996734619140625,4572205.5220691,271812.2513968954,0.001171112060546875,34114.872977625,43948.029830500345,0.546875,684.9054753749999,164.30579681088247,0.0078125,19951.073110375,28505.12195066995,0.84375,750.9795015,296.4638184453849,0.0078125
9315.792972142857,13924.742049702802,N/A,964697.3509297144,10399.978023056492,N/A,7205.1049588,10307.059507849692,0.855224609375,896643.4399376666,15452.573370464444,0.0001220703125,6340.133340562499,8429.322753807404,0.1937255859375,962822.5938923125,25514.468737396593,0.118896484375,6772.859056307691,10678.428801264714,0.414306640625,911809.0580328462,26137.603265223737,0.000244140625
4252.445920035714,9684.242915909119,N/A,21665987.44816014,987960.9931031171,N/A,2508.6385521,5409.930062561318,0.069580078125,20044481.3501231,711720.3391139527,9.5367431640625e-06,2046.4682464090909,3380.1330373544124,0.12067747116088867,26704772.28728409,1432966.361453474,4.76837158203125e-07,2097.936627583333,4458.37123558394,0.10109639167785645,24687148.948296547,760504.2785831676,1.1920928955078125e-07
3772.8591365714283,3784.623837225739,N/A,2477577.8430361426,539634.7529531167,N/A,2004.0067417692308,3728.4725819526,0.296875,2218528.541060308,273941.8969433891,0.6875,2462.1040684285713,4355.326863776322,0.15625,1768907.0297638571,28555.008520809264,0.015625,2303.1896586,4574.28752222522,0.21875,1657962.3000264,27459.12779040974,0.015625
19400.856372000002,35761.05051665954,N/A,421326202.45442927,6645416.163023326,N/A,19542.97044283333,54369.85687538034,0.03098480962216854,394135379.7210572,7764824.103326219,1.862645149230957e-09,13857.157102133331,32435.244758110843,0.07672121562063694,504454406.7831691,9400978.223787298,1.862645149230957e-09,19656.232567133327,49005.2154388905,0.20540969260036945,466552321.0175812,6416327.510267293,1.862645149230957e-09
3582.687878,8601.048919046554,N/A,5170464.392069786,155599.80260253552,N/A,4957.169795,10623.820556723993,0.4609375,4953718.518501624,197874.56767650053,0.3125,4563.824471545455,8316.54559799817,0.8984375,3693602.0638055457,66446.55941833972,0.0009765625,3006.6667889285713,7411.19341751929,0.2412109375,3429083.542984286,61497.97598076653,0.0001220703125
8178.329384000001,3320.924150865067,N/A,884124969.1694404,10289307.854410758,N/A,17277.18546734483,37366.26707375593,0.05064401775598526,840735461.0024371,10286385.802305039,3.725290298461914e-09,7331.925628571428,3896.894623416165,0.25451332330703735,1026445102.7024536,12866695.424837666,7.450580596923828e-09,7612.434610571429,2657.8156267332597,0.5979221016168594,953253666.1739992,11438164.39586021,7.450580596923828e-09
1492.87501625,912.7743822362559,N/A,13076411.209306002,280438.95943588234,N/A,1032.8363127,731.6818644360067,0.25,12047445.129823402,217505.7718961307,0.125,676.591719,292.7547301800906,0.25,14567820.51973818,281395.60126342846,0.125,1105.8181914444444,1054.3858015480466,0.25,13659989.66396989,199814.36168644292,0.125
3733.7789981034475,10844.787662315948,N/A,158110269.63377753,1901420.1939303637,N/A,4428.9152250666675,9784.19395360189,0.05337592214345932,148672628.38543794,1820190.3392996397,3.725290298461914e-09,1847.2821291785715,1715.8732944278022,0.6947018131613731,181246000.51767588,2891554.0802973793,7.450580596923828e-09,2777.6460766785717,6205.743508740788,0.9374814853072166,168121633.30034727,2635048.056069413,7.450580596923828e-09
2069.8253405625,2680.9235483862167,N/A,30972042.256979935,476183.78094799933,N/A,1389.1784955789474,1870.2957583119921,0.781951904296875,29221907.80944163,253035.87699735825,3.0517578125e-05,2428.01230925,3690.6877574388977,1.0,19234695.404411122,269850.55743982235,0.0078125,1383.9780504166665,2179.226877580665,0.6220703125,18043640.31724625,1016142.0339213873,0.00048828125
2514.730515275862,1797.7367817612246,N/A,165779783.67868063,1707394.9706511968,N/A,3487.4862871724135,2368.120658273619,0.12065461277961731,155768537.33700505,1807196.2795377322,3.725290298461914e-09,1592.708470392857,1503.616570582051,0.053377434611320496,188366488.6545703,2244021.8816393563,7.450580596923828e-09,1620.967462518519,1135.7649938975285,0.02000175416469574,174647053.47427619,1336638.3805429523,1.4901161193847656e-08
872.3532090000001,789.7181434648395,N/A,5295828.3367898,93021.819457216,N/A,579.9908485555557,126.09860669014687,1.0,5030145.621347778,93867.77746188363,0.0625,357.923841,0.0,1.0,558.438538,0.0,1.0,709.099668,0.0,1.0,931.291391,0.0,1.0
674.1050263750001,317.14674578010846,N/A,10343758.491314374,75968.84050247063,N/A,926.8063337499999,782.281707729643,0.4609375,9885495.815989625,310871.98060774466,0.0078125,613.8844968666667,370.85965955890464,0.7421875,11443598.667149734,92842.91764998432,0.0078125,1552.5078023333333,896.0090219765972,0.0390625,10559093.247622779,115388.62008039003,0.015625
